Code,Name,number_of_flights_departing
IDA,"Idaho Falls, ID: Idaho Falls Regional",2301
AEX,"Alexandria, LA: Alexandria International",2281
MOT,"Minot, ND: Minot International",2280
GRK,"Killeen, TX: Robert Gray AAF",2271
MTJ,"Montrose/Delta, CO: Montrose Regional",2217
LAN,"Lansing, MI: Capital Region International",2199
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",2189
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",2184
CWA,"Mosinee, WI: Central Wisconsin",2178
MLU,"Monroe, LA: Monroe Regional",2143
DLH,"Duluth, MN: Duluth International",2082
EGE,"Eagle, CO: Eagle County Regional",2078
HHH,"Hilton Head, SC: Hilton Head Airport",2064
MLB,"Melbourne, FL: Melbourne International",2061
BFL,"Bakersfield, CA: Meadows Field",2033
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",1996
ACY,"Atlantic City, NJ: Atlantic City International",1964
LNK,"Lincoln, NE: Lincoln Airport",1922
FLG,"Flagstaff, AZ: Flagstaff Pulliam",1914
COU,"Columbia, MO: Columbia Regional",1879
BRO,"Brownsville, TX: Brownsville South Padre Island International",1827
MBS,"Saginaw/Bay City/Midland, MI: MBS International",1808
ABI,"Abilene, TX: Abilene Regional",1724
BLI,"Bellingham, WA: Bellingham International",1669
CPR,"Casper, WY: Casper/Natrona County International",1667
HDN,"Hayden, CO: Yampa Valley",1648
HLN,"Helena, MT: Helena Regional",1642
SAF,"Santa Fe, NM: Santa Fe Municipal",1637
LRD,"Laredo, TX: Laredo International",1621
CMI,"Champaign/Urbana, IL: University of Illinois/Willard",1619
KTN,"Ketchikan, AK: Ketchikan International",1600
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",1547
LSE,"La Crosse, WI: La Crosse Regional",1519
CLL,"College Station/Bryan, TX: Easterwood Field",1497
TOL,"Toledo, OH: Toledo Express",1490
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",1473
ERI,"Erie, PA: Erie International/Tom Ridge Field",1466
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",1455
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",1446
SBY,"Salisbury, MD: Salisbury-Ocean City/Wicomico Regional",1385
YUM,"Yuma, AZ: Yuma MCAS/Yuma International",1366
LCH,"Lake Charles, LA: Lake Charles Regional",1358
GFK,"Grand Forks, ND: Grand Forks International",1290
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",1281
TTN,"Trenton, NJ: Trenton Mercer",1272
FSM,"Fort Smith, AR: Fort Smith Regional",1271
ELM,"Elmira/Corning, NY: Elmira/Corning Regional",1261
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",1199
SPI,"Springfield, IL: Abraham Lincoln Capital",1189
ACT,"Waco, TX: Waco Regional",1142
LNY,"Lanai, HI: Lanai Airport",1133
BLV,"Belleville, IL: Scott AFB/MidAmerica",1132
USA,"Concord, NC: Concord Padgett Regional",1121
TYR,"Tyler, TX: Tyler Pounds Regional",1085
HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field",1084
MQT,"Marquette, MI: Sawyer International",1075
MKK,"Hoolehua, HI: Molokai",1065
LCK,"Columbus, OH: Rickenbacker International",1064
PBG,"Plattsburgh, NY: Plattsburgh International",1062
SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International",1041
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",956
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",924
CSG,"Columbus, GA: Columbus Airport",922
JMS,"Jamestown, ND: Jamestown Regional",918
GTR,"Columbus, MS: Golden Triangle Regional",906
DHN,"Dothan, AL: Dothan Regional",903
XWA,"Williston, ND: Williston Basin International",901
JLN,"Joplin, MO: Joplin Regional",879
PIH,"Pocatello, ID: Pocatello Regional",861
PUW,"Pullman, WA: Pullman Moscow Regional",848
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County",846
LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",840
