Date,Name,number_of_flights
2020-01-12,Alabama,128
2020-01-12,Arkansas,99
2020-01-12,Arizona,614
2020-01-12,California,2261
2020-01-12,Colorado,876
2020-01-12,Connecticut,75
2020-01-12,Florida,1822
2020-01-12,Georgia,1118
2020-01-12,Hawaii,339
2020-01-12,Iowa,95
2020-01-12,Idaho,97
2020-01-12,Illinois,1259
2020-01-12,Indiana,198
2020-01-12,Kansas,44
2020-01-12,Kentucky,237
2020-01-12,Louisiana,248
2020-01-12,Massachusetts,393
2020-01-12,Maryland,255
2020-01-12,Maine,42
2020-01-12,Michigan,563
2020-01-12,Minnesota,425
2020-01-12,Missouri,378
2020-01-12,Mississippi,46
2020-01-12,Montana,85
2020-01-12,North Carolina,1052
2020-01-12,North Dakota,63
2020-01-12,Nebraska,90
2020-01-12,New Hampshire,25
2020-01-12,New Jersey,451
2020-01-12,New Mexico,77
2020-01-12,Nevada,578
2020-01-12,New York,1056
2020-01-12,Ohio,337
2020-01-12,Oklahoma,122
2020-01-12,Oregon,288
2020-01-12,Pennsylvania,614
2020-01-12,Puerto Rico,103
2020-01-12,Rhode Island,49
2020-01-12,South Carolina,177
2020-01-12,South Dakota,43
2020-01-12,Tennessee,397
2020-01-12,Pacific Trust Territories and Possessions,3
2020-01-12,Texas,2193
2020-01-12,Utah,359
2020-01-12,Virginia,846
2020-01-12,Virgin Islands,17
2020-01-12,Vermont,27
2020-01-12,Washington,612
2020-01-12,Wisconsin,187
2020-01-12,West Virginia,20
2020-01-12,Wyoming,35
2020-01-13,Alaska,97
2020-01-13,Alabama,131
2020-01-13,Arkansas,96
2020-01-13,Arizona,609
2020-01-13,California,2400
2020-01-13,Colorado,870
2020-01-13,Connecticut,83
2020-01-13,Florida,1752
2020-01-13,Georgia,1202
2020-01-13,Hawaii,330
2020-01-13,Iowa,91
2020-01-13,Idaho,102
2020-01-13,Illinois,1332
2020-01-13,Indiana,200
2020-01-13,Kansas,52
2020-01-13,Kentucky,259
2020-01-13,Louisiana,231
2020-01-13,Massachusetts,444
2020-01-13,Maryland,272
2020-01-13,Maine,50
2020-01-13,Michigan,630
2020-01-13,Minnesota,472
2020-01-13,Missouri,403
2020-01-13,Mississippi,46
2020-01-13,Montana,84
2020-01-13,North Carolina,1081
2020-01-13,North Dakota,64
2020-01-13,Nebraska,97
2020-01-13,New Hampshire,29
2020-01-13,New Jersey,475
2020-01-13,New Mexico,83
2020-01-13,Nevada,560
2020-01-13,New York,1170
2020-01-13,Ohio,344
2020-01-13,Oklahoma,125
2020-01-13,Oregon,303
2020-01-13,Pennsylvania,651
2020-01-13,Puerto Rico,98
2020-01-13,Rhode Island,50
2020-01-13,South Carolina,175
2020-01-13,South Dakota,45
2020-01-13,Tennessee,405
2020-01-13,Pacific Trust Territories and Possessions,4
2020-01-13,Texas,2196
2020-01-13,Utah,365
2020-01-13,Virginia,887
2020-01-13,Virgin Islands,16
2020-01-13,Vermont,29
2020-01-13,Washington,643
2020-01-13,Wisconsin,202
2020-01-13,West Virginia,24
2020-01-13,Wyoming,33
2020-01-14,Alaska,92
2020-01-14,Alabama,117
2020-01-14,Arkansas,89
2020-01-14,Arizona,532
2020-01-14,California,2254
2020-01-14,Colorado,829
2020-01-14,Connecticut,77
2020-01-14,Florida,1554
2020-01-14,Georgia,1168
2020-01-14,Hawaii,325
2020-01-14,Iowa,83
2020-01-14,Idaho,92
2020-01-14,Illinois,1265
2020-01-14,Indiana,185
2020-01-14,Kansas,47
2020-01-14,Kentucky,232
2020-01-14,Louisiana,222
2020-01-14,Massachusetts,424
2020-01-14,Maryland,261
2020-01-14,Maine,47
2020-01-14,Michigan,593
2020-01-14,Minnesota,448
2020-01-14,Missouri,390
2020-01-14,Mississippi,43
2020-01-14,Montana,79
2020-01-14,North Carolina,946
2020-01-14,North Dakota,57
2020-01-14,Nebraska,87
2020-01-14,New Hampshire,25
2020-01-14,New Jersey,464
2020-01-14,New Mexico,77
2020-01-14,Nevada,490
2020-01-14,New York,1113
2020-01-14,Ohio,324
2020-01-14,Oklahoma,116
2020-01-14,Oregon,283
2020-01-14,Pennsylvania,588
2020-01-14,Puerto Rico,89
2020-01-14,Rhode Island,48
2020-01-14,South Carolina,166
2020-01-14,South Dakota,39
2020-01-14,Tennessee,374
2020-01-14,Pacific Trust Territories and Possessions,5
2020-01-14,Texas,2029
2020-01-14,Utah,350
2020-01-14,Virginia,867
2020-01-14,Virgin Islands,14
2020-01-14,Vermont,27
2020-01-14,Washington,599
2020-01-14,Wisconsin,194
2020-01-14,West Virginia,19
2020-01-14,Wyoming,28
2020-01-15,Alaska,98
2020-01-15,Alabama,124
2020-01-15,Arkansas,92
2020-01-15,Arizona,578
2020-01-15,California,2299
2020-01-15,Colorado,848
2020-01-15,Connecticut,79
2020-01-15,Florida,1610
2020-01-15,Georgia,1174
2020-01-15,Hawaii,328
2020-01-15,Iowa,88
2020-01-15,Idaho,91
2020-01-15,Illinois,1287
2020-01-15,Indiana,189
2020-01-15,Kansas,48
2020-01-15,Kentucky,239
2020-01-15,Louisiana,221
2020-01-15,Massachusetts,424
2020-01-15,Maryland,265
2020-01-15,Maine,49
2020-01-15,Michigan,608
2020-01-15,Minnesota,462
2020-01-15,Missouri,396
2020-01-15,Mississippi,46
2020-01-15,Montana,76
2020-01-15,North Carolina,1054
2020-01-15,North Dakota,60
2020-01-15,Nebraska,91
2020-01-15,New Hampshire,26
2020-01-15,New Jersey,463
2020-01-15,New Mexico,78
2020-01-15,Nevada,495
2020-01-15,New York,1139
2020-01-15,Ohio,328
2020-01-15,Oklahoma,120
2020-01-15,Oregon,290
2020-01-15,Pennsylvania,594
2020-01-15,Puerto Rico,87
2020-01-15,Rhode Island,49
2020-01-15,South Carolina,173
2020-01-15,South Dakota,40
2020-01-15,Tennessee,381
2020-01-15,Pacific Trust Territories and Possessions,3
2020-01-15,Texas,2090
2020-01-15,Utah,353
2020-01-15,Virginia,870
2020-01-15,Virgin Islands,13
2020-01-15,Vermont,27
2020-01-15,Washington,612
2020-01-15,Wisconsin,199
2020-01-15,West Virginia,22
2020-01-15,Wyoming,30
2020-01-16,Alaska,96
2020-01-16,Alabama,130
2020-01-16,Arkansas,103
2020-01-16,Arizona,616
2020-01-16,California,2408
2020-01-16,Colorado,881
2020-01-16,Connecticut,84
2020-01-16,Florida,1769
2020-01-16,Georgia,1197
2020-01-16,Hawaii,337
2020-01-16,Iowa,94
2020-01-16,Idaho,96
2020-01-16,Illinois,1340
2020-01-16,Indiana,202
2020-01-16,Kansas,49
2020-01-16,Kentucky,260
2020-01-16,Louisiana,237
2020-01-16,Massachusetts,445
2020-01-16,Maryland,270
2020-01-16,Maine,47
2020-01-16,Michigan,621
2020-01-16,Minnesota,469
2020-01-16,Missouri,409
2020-01-16,Mississippi,48
2020-01-16,Montana,86
2020-01-16,North Carolina,1081
