Date,state,number_of_flights,number_of_new_cases
2020-01-11,West Virginia,17,0
2020-01-11,Wyoming,30,0
2020-01-12,Alaska,92,0
2020-01-12,Alabama,128,0
2020-01-12,Arkansas,99,0
2020-01-12,Arizona,614,0
2020-01-12,California,2261,0
2020-01-12,Colorado,876,0
2020-01-12,Connecticut,75,0
2020-01-12,Florida,1822,0
2020-01-12,Georgia,1118,0
2020-01-12,Hawaii,339,0
2020-01-12,Iowa,95,0
2020-01-12,Idaho,97,0
2020-01-12,Illinois,1259,0
2020-01-12,Indiana,198,0
2020-01-12,Kansas,44,0
2020-01-12,Kentucky,237,0
2020-01-12,Louisiana,248,0
2020-01-12,Massachusetts,393,0
2020-01-12,Maryland,255,0
2020-01-12,Maine,42,0
2020-01-12,Michigan,563,0
2020-01-12,Minnesota,425,0
2020-01-12,Missouri,378,0
2020-01-12,Mississippi,46,0
2020-01-12,Montana,85,0
2020-01-12,North Carolina,1052,0
2020-01-12,North Dakota,63,0
2020-01-12,Nebraska,90,0
2020-01-12,New Hampshire,25,0
2020-01-12,New Jersey,451,0
2020-01-12,New Mexico,77,0
2020-01-12,Nevada,578,0
2020-01-12,New York,1056,0
2020-01-12,Ohio,337,0
2020-01-12,Oklahoma,122,0
2020-01-12,Oregon,288,0
2020-01-12,Pennsylvania,614,0
2020-01-12,Puerto Rico,103,0
2020-01-12,Rhode Island,49,0
2020-01-12,South Carolina,177,0
2020-01-12,South Dakota,43,0
2020-01-12,Tennessee,397,0
2020-01-12,Pacific Trust Territories and Possessions,3,0
2020-01-12,Texas,2193,0
2020-01-12,Utah,359,0
2020-01-12,Virginia,846,0
2020-01-12,Virgin Islands,17,0
2020-01-12,Vermont,27,0
2020-01-12,Washington,612,0
2020-01-12,Wisconsin,187,0
2020-01-12,West Virginia,20,0
2020-01-12,Wyoming,35,0
2020-01-13,Alaska,97,0
2020-01-13,Alabama,131,0
2020-01-13,Arkansas,96,0
2020-01-13,Arizona,609,0
2020-01-13,California,2400,0
2020-01-13,Colorado,870,0
2020-01-13,Connecticut,83,0
2020-01-13,Florida,1752,0
2020-01-13,Georgia,1202,0
2020-01-13,Hawaii,330,0
2020-01-13,Iowa,91,0
2020-01-13,Idaho,102,0
2020-01-13,Illinois,1332,0
2020-01-13,Indiana,200,0
2020-01-13,Kansas,52,0
2020-01-13,Kentucky,259,0
2020-01-13,Louisiana,231,0
2020-01-13,Massachusetts,444,0
2020-01-13,Maryland,272,0
2020-01-13,Maine,50,0
2020-01-13,Michigan,630,0
2020-01-13,Minnesota,472,0
2020-01-13,Missouri,403,0
2020-01-13,Mississippi,46,0
2020-01-13,Montana,84,0
2020-01-13,North Carolina,1081,0
2020-01-13,North Dakota,64,0
2020-01-13,Nebraska,97,0
2020-01-13,New Hampshire,29,0
2020-01-13,New Jersey,475,0
2020-01-13,New Mexico,83,0
2020-01-13,Nevada,560,0
2020-01-13,New York,1170,0
2020-01-13,Ohio,344,0
2020-01-13,Oklahoma,125,0
2020-01-13,Oregon,303,0
2020-01-13,Pennsylvania,651,0
2020-01-13,Puerto Rico,98,0
2020-01-13,Rhode Island,50,0
2020-01-13,South Carolina,175,0
2020-01-13,South Dakota,45,0
2020-01-13,Tennessee,405,0
2020-01-13,Pacific Trust Territories and Possessions,4,0
2020-01-13,Texas,2196,0
2020-01-13,Utah,365,0
2020-01-13,Virginia,887,0
2020-01-13,Virgin Islands,16,0
2020-01-13,Vermont,29,0
2020-01-13,Washington,643,0
2020-01-13,Wisconsin,202,0
2020-01-13,West Virginia,24,0
2020-01-13,Wyoming,33,0
2020-01-14,Alaska,92,0
2020-01-14,Alabama,117,0
2020-01-14,Arkansas,89,0
2020-01-14,Arizona,532,0
2020-01-14,California,2254,0
2020-01-14,Colorado,829,0
2020-01-14,Connecticut,77,0
2020-01-14,Florida,1554,0
2020-01-14,Georgia,1168,0
2020-01-14,Hawaii,325,0
2020-01-14,Iowa,83,0
